country,covered,legal_system,min_purchase_age_on_premise,min_purchase_age_off_premise,bac_limit_general_pop_per_l,bac_limit_young_drivers_per_l,bac_limit_prof_drivers_per_l,random_breath_testing,national_alcohol_strategy_written_adopted,primary_legislation_illegal_alcohol,alcohol_per_capita_avg_litres,per_capita_consumption_grams,average_daily_intake_grams_pop_15+_female,average_daily_intake_grams_pop_15+_male,specialist_substance_use_courts,alcohol_treatment_requirements,national_system_monitoring_consumption,national_system_monitoring_health_consequence,national_system_monitoring_social_consequence,national_system_monitoring_policy_response,alcohol_tagging_requirements,driving_penalty_community_service,driving_penalty_detention,driving_penalty_fines,driving_penalty_alcolocks,driving_penalty_license_suspended_revoked,driving_penalty_mandatory_treatment,driving_penalty_penalty_points,driving_penalty_vehicle_impounded,row_type,source_min_purchase_age_on_premise,source_min_purchase_age_off_premise,source_bac_limits,source_random_breath_testing,source_national_alcohol_strategy_written_adopted,source_primary_legislation_illegal_alcohol,source_consumption_litres,source_average_consumptions,source_specialist_substance_use_courts,source_alcohol_tagging_requirements,source_driving_penalties
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (2024),WHO (last updated 2025),,,WHO (2016)
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-(15-)-consumption-(in-litres-of-pure-alcohol)-3-year-average-with-95-ci,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/penalties-for-drink-driving
Singapore,yes,,18,18,0.08%,0.08%,0.08%,Yes,Yes,Yes,2.3,3.9,1.7,6,No,,yes,no,no,no,No,no,yes,no,no,yes,no,no,no,policy,,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (2024),WHO (last updated 2025),,,WHO (2016)
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-(15-)-consumption-(in-litres-of-pure-alcohol)-3-year-average-with-95-ci,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/penalties-for-drink-driving
South Africa,yes,civil law,18,18,None,None,None,No,Yes,Yes,7.4,15.5,5,26.9,No,,yes,no,no,no,No,yes,yes,yes,no,yes,yes,no,no,policy,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (2024),WHO (last updated 2025),,,WHO (2016)
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-(15-)-consumption-(in-litres-of-pure-alcohol)-3-year-average-with-95-ci,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/penalties-for-drink-driving
Turkey,yes,civil law,18,18,0.05%,0.02%,0.02%,Yes,Yes,Yes,1.6,3.7,0.9,6.5,No,,yes,no,no,no,No,no,yes,yes,no,yes,no,yes,yes,policy,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (2024),WHO (last updated 2025),,,WHO (2016)
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-(15-)-consumption-(in-litres-of-pure-alcohol)-3-year-average-with-95-ci,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/penalties-for-drink-driving
United States,yes,common law,sub-national,sub-national,0.08%,sub-national,0.04%,No,Yes,Yes,9.2,21.5,9.6,33.7,Yes (by state),,yes,yes,yes,yes,Secure Continuous Remote Alcohol Monitoring (SCRAM) tags,yes,yes,yes,yes,yes,yes,yes,yes,policy,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (2024),WHO (last updated 2025),AllRise (2026),,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-(15-)-consumption-(in-litres-of-pure-alcohol)-3-year-average-with-95-ci,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,https://allrise.org/about/treatment-courts/,,
